nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,3,10,10000,0.4859,0.4508,0.3423,0.097,NA,0.4071,0.4482,0.4505,0.1728,0.2323,0.3258,0,0,0,0,10000,0,0,0,0,0,0,62.51449036598205
alto,3,25,10000,0.9605,0.923,0.8239,0.4295,0.5457,0.8694,0.9241,0.8449,0.245,0.5486,0.7859,0,0,0,0,0,0,0,0,0,0,0,70.93031978607178
alto,3,50,10000,1,1,0.9977,0.8779,0.907,0.9988,1,0.9936,0.3685,0.8875,0.9877,0,0,0,0,0,0,0,0,0,0,0,63.14687180519104
alto,3,100,10000,1,1,1,0.9998,0.9999,1,1,1,0.5694,0.9987,1,0,0,0,0,0,0,0,0,0,0,0,61.240397453308105
alto,3,250,10000,1,1,1,1,1,1,1,1,0.8783,1,1,0,0,0,0,0,0,0,0,0,0,0,71.47516942024231
alto,3,500,10000,1,1,1,1,1,1,1,1,0.9906,1,1,0,0,0,0,0,0,0,0,0,0,0,84.81695771217346
alto,3,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,112.46538853645325
alto,3,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,137.60769176483154
