nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo,6,10,10000,0.1139,0.1056,0.0766,0.0028,NA,0.0958,0.0699,0.1113,0.093,0.2926,0.0507,0,0,0,0,10000,0,0,0,0,0,0,79.78090381622314
bajo,6,25,10000,0.4539,0.3451,0.1647,4e-4,0.373,0.2606,0.2207,0.1615,0.5418,0.7422,0.2758,0,0,0,0,0,0,0,0,0,0,0,81.07076025009155
bajo,6,50,10000,0.9139,0.7632,0.3787,4e-4,0.8987,0.6012,0.7251,0.2947,0.9441,0.9514,0.7536,0,0,0,0,0,0,0,0,0,0,0,77.95931220054626
bajo,6,100,10000,1,0.9926,0.8196,0.8151,1,0.9544,0.998,0.6715,0.9999,0.999,0.9892,0,0,0,0,0,0,0,0,0,0,0,75.77518248558044
bajo,6,250,10000,1,1,0.9999,1,1,1,1,0.9994,1,1,1,0,0,0,0,0,0,0,0,12,0,0,84.57936143875122
bajo,6,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,33,0,0,106.19551110267639
bajo,6,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,22,0,0,144.35738325119019
bajo,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14,0,0,179.27150535583496
